id,nome,cpf,email,cidade,telefones,endereco,Grupos
140,Rosa Abreu Racazella,439.654.259-68,rosa_abreu@hjmail.com.br,2111805,(22) 4899 - 9323; (88) 18215 - 1093; (89) 1314 - 4042,"Avenida Costa Teles, 1670 - Apartamento 284",4;3
141,Adriana de Sá Oliveira,118.573.856-95,adriana.de@hjmail.com.br,2511806,(62) 1913 - 8593; (63) 13135 - 8206; (49) 4881 - 1646,"Rua Evangelista, 553",1;4
142,Eduardo Lima Racazella,468.724.357-79,eduardo.lima@septem.co.uk,2413805,(78) 5373 - 3555; (41) 10249 - 9644; (29) 7233 - 8032,"Avenida do Coelho da Páscoa, 251",2;1;3;4
143,Carlos De Melo Santos,818.687.189-37,carlos.de@septem.co.uk,2205359,(26) 1961 - 8279; (61) 12847 - 5782; (24) 1193 - 9569,"Avenida do Coelho da Páscoa, 1903",3;2;1
144,Lauro Lucas Lucas,193.914.193-36,lauro.lucas@carlmail.com,2509800,(99) 2269 - 6553; (28) 27284 - 1201; (96) 4161 - 9241,"Avenida Setembro, 1716",2;1;4
145,Eduardo Andrade Edgar,277.261.778-85,eduardo_andrade@hjmail.com.br,2909901,(91) 4237 - 9393; (74) 16695 - 9119; (11) 1461 - 7553,"Alameda Ernesto Augusto, 265",1;3;4
146,Beatriz Santista Edgar,522.752.692-26,beatriz-santista@hjmail.com.br,2513943,(95) 6546 - 3972; (96) 14774 - 4016; (63) 8321 - 5691,"Rua Zimbro, 1730 - Apartamento 974",1;4;3
147,Carlos Lucas Andrade,857.856.786-83,carlos_lucas@septem.co.uk,2104057,(77) 5333 - 1819; (34) 22929 - 2678; (61) 5594 - 3183,"Travessa confins, 1031",2;3;1
148,Gladison De Melo Lima,259.378.857-93,gladison.de@carlmail.com,2504702,(28) 6987 - 4378; (77) 24755 - 4303; (75) 2523 - 1577,"Avenida confins, 437 - sala 24",1;3
149,Otávio Lima Silveira,526.237.789-49,otáviolima@septem.co.uk,1100072,(65) 4927 - 4583; (48) 7258 - 6827; (58) 6174 - 6594,"Alameda da Cenoura, 949 - Apto 994",1;2
150,Pamela Andrade Lucas,472.521.425-33,pamela.andrade@hjmail.com.br,2203453,(86) 2593 - 1285; (52) 3715 - 9650; (74) 2519 - 9489,"Avenida Evangelista, 101",2;3;4
151,Natasha Ramos de Sá,217.419.358-52,natasha.ramos@septem.co.uk,2111078,(25) 8884 - 4956; (48) 17534 - 3913; (18) 1716 - 6412,"Alameda Marcos, 1873 - Apartamento 296",1;2;4
152,Carlos Duarte de Sá,183.987.185-13,carlosduarte@hjmail.com.br,2604700,(49) 8632 - 1129; (72) 16213 - 5259; (39) 1541 - 6244,"Travessa Maria Angélica, 1954",3;2
153,Lauro Trindade Edgar,312.642.711-73,lauro.trindade@carlmail.com,1717503,(73) 1417 - 8254; (98) 11836 - 4321; (42) 6149 - 1551,"Rua Yayá, 1580 - Apartamento 871",4;2;1
154,Adriana Melo Ramos,431.969.427-89,adrianamelo@carlmail.com,2802106,(65) 9653 - 1735; (82) 27624 - 2508; (61) 1594 - 5836,"Avenida Maria Angélica, 2021",2;4;3
155,Beatriz Queiroz Racazella,747.421.168-89,beatrizqueiroz@carlmail.com,2407302,(13) 9313 - 7221; (66) 5658 - 9951; (29) 6555 - 9725,"Avenida Brasil, 115",4;3;1
156,Leandro Oliveira Abreu,551.639.729-31,leandro.oliveira@septem.co.uk,2105450,(53) 9313 - 6421; (45) 5317 - 9437; (83) 7793 - 4711,"Alameda Colonial, 1926 - Apto 579",2;1;3
157,Beatriz Edgar Santos,259.846.764-39,beatriz.edgar@septem.co.uk,1508001,(98) 7476 - 6267; (14) 16491 - 3767; (25) 9459 - 9661,"Alameda Easy, 194",4;2;3;1
158,Caio Walter Santista,585.399.683-94,caio-walter@hjmail.com.br,2112100,(19) 5914 - 8794; (67) 16442 - 3021; (72) 4623 - 9806,"Avenida da Lenora, 1519",2;3;4
159,Caio Silveira Santos,159.461.681-73,caiosilveira@carlmail.com,1506195,(98) 2799 - 6122; (74) 12139 - 4185; (35) 4578 - 4510,"Travessa Peas, 606",3;4;1;2
160,Giulia Racazella Andrade,761.423.885-99,giulia_racazella@septem.co.uk,2205557,(76) 1471 - 2522; (13) 24414 - 2642; (79) 7211 - 5719,"Rua da Cenoura, 1061",4;3
161,Rafaela Silveira Edgar,821.194.123-91,rafaelasilveira@carlmail.com,1501253,(73) 6975 - 7792; (39) 25639 - 4274; (87) 6785 - 4148,"Rua do Bode, 11",1;4
162,Antonio Queiroz Silva,365.711.717-19,antonioqueiroz@hjmail.com.br,2609204,(68) 1876 - 6939; (78) 29452 - 7437; (74) 4625 - 5857,"Rua Catapora, 1226",1;2
163,Leandro Andrade Santista,673.341.389-76,leandro.andrade@hjmail.com.br,2516151,(17) 9667 - 8327; (39) 8523 - 4769; (72) 4532 - 8995,"Rua Peas, 803 - sala 25",3;4
164,Pamela Oliveira Ramos,357.713.597-65,pamelaoliveira@hjmail.com.br,2207793,(37) 1834 - 2778; (64) 27469 - 1013; (98) 9589 - 7979,"Rua do Carneiro, 1044",1;4;3
165,Maria Melo Silveira,483.973.583-49,mariamelo@septem.co.uk,2612208,(53) 1674 - 5921; (12) 22456 - 5820; (81) 1352 - 5174,"Avenida Setembrino, 1490",3;4;1;2
166,Laura Ramos Lucas,959.128.634-98,laura-ramos@carlmail.com,2500908,(63) 1881 - 3258; (94) 3264 - 9295; (79) 6666 - 1632,"Travessa Marques, 553",4;1;3
167,Caio Crozara Trindade,118.218.256-69,caio-crozara@hjmail.com.br,2411007,(87) 1528 - 1445; (21) 23428 - 4287; (62) 8691 - 5992,"Alameda milipode, 304 - Apartamento 157",1;2
168,Eduardo De Melo Silveira,768.873.193-35,eduardode@septem.co.uk,2705903,(89) 9886 - 2572; (75) 3756 - 4288; (19) 4892 - 8086,"Rua da Lenora, 237",1;3;4
169,Mylen Andrade Melo,946.533.214-21,mylen.andrade@hjmail.com.br,2311264,(16) 1592 - 6839; (59) 11668 - 8516; (15) 1871 - 9881,"Travessa do Carneiro, 454",2;3;4
170,Camila Santos Abreu,772.883.821-23,camila.santos@carlmail.com,2306256,(49) 4356 - 1218; (87) 28386 - 4180; (83) 9559 - 5367,"Alameda do Gin Tônica, 508",3;4;1;2
171,Antonio Santos Duarte,555.725.873-62,antonio.santos@hjmail.com.br,2100956,(89) 5177 - 6322; (21) 30772 - 9437; (72) 7988 - 7102,"Alameda Brasil, 1818",4;2;3;1
172,Beatriz Edgar Andrade,232.813.366-24,beatriz.edgar@septem.co.uk,2306603,(98) 7978 - 7165; (53) 3984 - 1554; (46) 6329 - 9487,"Rua Maria Angélica, 1206 - Apto 839",3;4;1
173,Orlando Andrade de Sá,267.797.199-29,orlando-andrade@carlmail.com,2406908,(93) 3567 - 4375; (62) 5998 - 2427; (33) 2284 - 5312,"Rua Saracura, 1626",1;3;2
174,Caio Trindade Silveira,473.641.493-84,caio-trindade@carlmail.com,2411502,(77) 5169 - 7752; (62) 27728 - 7526; (66) 8423 - 4585,"Alameda Santos Dumont, 1471",4;2;1
175,Pamela Silveira Racazella,933.375.486-86,pamela_silveira@carlmail.com,1504802,(68) 8448 - 2946; (81) 10482 - 8824; (87) 4281 - 9418,"Alameda Costa Teles, 578 - Apartamento 606",1;3;2
176,Eduardo Lucas de Sá,561.225.495-71,eduardolucas@septem.co.uk,1300839,(15) 5655 - 7243; (23) 14325 - 6717; (84) 5323 - 8710,"Rua Costa Teles, 360 - Apartamento 681",4;3;2
177,Rafael Edgar Racazella,758.546.783-95,rafael.edgar@carlmail.com,2702108,(98) 9362 - 7694; (19) 25876 - 1323; (21) 8861 - 9181,"Travessa Maria Angélica, 1972 - Apto 919",1;3;2
178,Laura Racazella Lucas,936.474.639-37,laura-racazella@hjmail.com.br,2601102,(41) 3326 - 4933; (44) 9538 - 6701; (92) 2776 - 1176,"Rua do Coelho da Páscoa, 242 - Apartamento 512",4;3;1
179,Eduardo Silveira Lima,124.616.744-19,eduardosilveira@carlmail.com,1710706,(65) 3188 - 5846; (37) 14671 - 1442; (33) 4297 - 3340,"Alameda Evangelista, 1107",2;3;4
180,Beatriz Duarte Santista,838.911.529-28,beatriz_duarte@hjmail.com.br,1300607,(23) 6589 - 4358; (17) 9374 - 7571; (83) 6335 - 4882,"Avenida Lenora, 878",3;4;1
181,Leandro Pires Sousa,412.273.316-23,leandro-pires@carlmail.com,2108058,(31) 2832 - 6194; (92) 15926 - 2176; (79) 3544 - 8509,"Travessa Setembrina, 1143",3;1;4
182,Maria Duarte Melo,259.571.126-87,maria-duarte@septem.co.uk,2414803,(92) 5773 - 6137; (73) 29885 - 4274; (31) 8417 - 7255,"Alameda do Bode, 448",3;4
183,Rosi Santista Trindade,567.121.916-25,rosi_santista@carlmail.com,2311355,(82) 6257 - 7295; (45) 4158 - 4156; (72) 6662 - 4467,"Travessa Cristina Aveiro, 49",3;2
184,Laura Walter Silveira,893.249.516-23,laura.walter@hjmail.com.br,2111748,(84) 8951 - 6566; (45) 28466 - 1727; (76) 3361 - 9135,"Avenida Estados Desunidos, 112 - sala 6",2;4;3
185,Sandra Ramos Edgar,894.692.213-49,sandra.ramos@septem.co.uk,2615904,(91) 5881 - 4352; (65) 26827 - 2539; (75) 2653 - 6007,"Rua Brasil, 523",4;2
186,Adriana Santos Sousa,674.271.214-93,adriana.santos@carlmail.com,2312502,(28) 3535 - 4639; (98) 21664 - 6653; (72) 1572 - 6119,"Alameda milipode, 2041",4;2
187,Igor Silveira Queiroz,951.778.736-49,igor_silveira@carlmail.com,2104081,(65) 7248 - 4478; (88) 19218 - 9702; (28) 1342 - 7603,"Travessa da Cenoura, 1080",3;2
188,Dina Andrade Silva,939.162.127-69,dina_andrade@septem.co.uk,2603108,(72) 2462 - 7121; (42) 7437 - 7075; (74) 9836 - 6905,"Avenida Saracura, 1725",1;4
189,Dina Silveira Sousa,231.992.777-27,dina.silveira@carlmail.com,2703502,(87) 5411 - 4674; (93) 30958 - 1376; (32) 2744 - 2521,"Avenida Peas, 1216",1;2;3;4
190,Teresa Edgar Crozara,529.261.368-12,teresa-edgar@carlmail.com,2403202,(16) 4379 - 2789; (34) 25764 - 3008; (85) 2492 - 6260,"Travessa Cristina Aveiro, 678",4;2;3
191,Maria Santista Melo,222.369.227-75,maria-santista@septem.co.uk,2612455,(96) 3845 - 5988; (61) 22172 - 8932; (81) 5252 - 5993,"Travessa do Gin Tônica, 97",2;1;3;4
192,Gladison Trindade Lima,939.986.117-91,gladison-trindade@septem.co.uk,2403202,(26) 2658 - 6834; (23) 23396 - 7190; (99) 1532 - 3399,"Travessa Uberaba, 558",3;2
193,Sousa Santos Oliveira,222.919.824-17,sousa-santos@carlmail.com,2504504,(11) 6495 - 8246; (44) 23747 - 2945; (62) 3858 - 8480,"Rua Ernesto Augusto, 796 - Apartamento 301",3;1;2
194,Pamela Andrade Pires,716.976.682-24,pamela_andrade@septem.co.uk,2102101,(38) 8939 - 4113; (19) 12557 - 2627; (24) 6569 - 6095,"Alameda Marques, 1062 - sala 24",4;2
195,Tony Edgar Pires,512.624.984-97,tony-edgar@septem.co.uk,1500701,(27) 8137 - 1198; (42) 20429 - 3839; (32) 1433 - 1000,"Alameda do Bode, 628",2;1
196,Carlos Andrade Lima,542.194.448-88,carlos.andrade@hjmail.com.br,1703602,(12) 3816 - 1315; (79) 7666 - 5953; (43) 4568 - 9069,"Alameda Yayá, 1350",4;1
197,Carla Lucas Ramos,965.749.499-36,carla_lucas@carlmail.com,2709103,(66) 3296 - 1394; (88) 15912 - 4976; (45) 4275 - 3471,"Rua do Coelho da Páscoa, 1395",2;4;3
198,Antonio Racazella Racazella,527.564.374-33,antonio-racazella@hjmail.com.br,2503209,(57) 3131 - 8522; (23) 5394 - 7582; (78) 3783 - 6242,"Alameda Maria Angélica, 1973",2;4
199,Eduardo Edgar Crozara,671.924.488-28,eduardo_edgar@hjmail.com.br,2211001,(71) 1794 - 4728; (69) 6381 - 3127; (78) 9978 - 9160,"Rua Brasil, 594",1;2;3
200,Antonio Abreu Lima,616.242.169-28,antonio.abreu@hjmail.com.br,1506161,(31) 9427 - 5816; (16) 27961 - 4381; (47) 1367 - 8308,"Avenida Marques, 143",2;1;4
201,Marcos Silveira Abreu,587.283.727-77,marcos-silveira@carlmail.com,1200302,(94) 7776 - 4419; (38) 27172 - 9201; (12) 8149 - 4634,"Rua Zimbro, 1193",1;3;2
202,Eduardo Queiroz Oliveira,458.534.989-71,eduardo-queiroz@hjmail.com.br,2705408,(37) 5646 - 9735; (32) 20148 - 6574; (95) 4153 - 2907,"Travessa Santos Dumont, 1549 - Apartamento 769",3;1;2
203,Natasha Abreu Santos,867.636.378-56,natasha-abreu@septem.co.uk,1702307,(57) 5998 - 6712; (46) 1872 - 7419; (82) 3868 - 4473,"Alameda Easy, 1590 - Apto 874",2;4
204,Marcos Edgar Silveira,174.945.767-17,marcos-edgar@carlmail.com,2101970,(21) 6574 - 1757; (83) 10795 - 6096; (24) 9853 - 7300,"Alameda Evangelista, 1340 - Apto 224",2;3;4
205,João De Melo Abreu,574.832.898-21,joãode@hjmail.com.br,1504059,(21) 9384 - 6275; (87) 29475 - 7838; (89) 5822 - 6538,"Alameda garça, 1379 - Apartamento 774",1;4
206,Dina Racazella de Sá,874.554.155-83,dina_racazella@hjmail.com.br,2902708,(26) 6767 - 7548; (62) 22132 - 2220; (81) 7163 - 6917,"Alameda Cristo, 1627",1;2;4
207,Rafael Queiroz Oliveira,759.941.659-45,rafael_queiroz@carlmail.com,2108900,(85) 5375 - 3591; (38) 22722 - 5071; (78) 5599 - 2529,"Travessa Marques, 491 - sala 15",3;4;1;2
208,Teresa Abreu Santista,584.827.726-56,teresa.abreu@carlmail.com,2509701,(88) 9157 - 2543; (51) 18776 - 3690; (39) 2387 - 4494,"Rua Colonial, 64 - Apto 89",2;4;3
209,Luzia Racazella Lima,372.572.317-81,luzia.racazella@carlmail.com,2301703,(19) 8614 - 9763; (64) 26193 - 3243; (94) 3368 - 8270,"Travessa Santos Dumont, 1122 - sala 23",4
210,Maria Ramos Crozara,884.613.922-88,maria-ramos@septem.co.uk,2704906,(32) 1471 - 4355; (82) 29315 - 9831; (19) 6335 - 6821,"Avenida do Coelho da Páscoa, 1876",4;3
211,Mylen De Melo Ramos,431.946.919-69,mylen_de@hjmail.com.br,2608008,(72) 7915 - 2314; (22) 30738 - 8264; (71) 5417 - 9362,"Rua Maria Angélica, 1749 - Apartamento 688",2;3;4
212,Maria Pires Sousa,521.869.477-51,mariapires@carlmail.com,2205557,(29) 5566 - 9347; (12) 17744 - 3274; (61) 4356 - 4849,"Rua Uberaba, 1789 - Apto 823",3;4
213,Priscila Silveira Oliveira,514.162.965-73,priscila.silveira@carlmail.com,2106300,(59) 5632 - 1274; (61) 11148 - 7172; (58) 9118 - 6526,"Rua Yayá, 1653",4;3
214,Sousa Oliveira Ramos,197.917.482-91,sousaoliveira@carlmail.com,2112407,(53) 1825 - 7525; (15) 20765 - 5678; (58) 4681 - 7616,"Travessa Uberaba, 275",1;3;2
215,Antonio Walter Oliveira,569.691.126-52,antonio_walter@hjmail.com.br,2512036,(82) 8995 - 1559; (15) 9999 - 7280; (32) 5228 - 9588,"Avenida da Cenoura, 1619",1;2;3
216,Tony Melo Abreu,497.778.918-78,tony-melo@septem.co.uk,1502939,(38) 4758 - 6621; (51) 8171 - 2261; (73) 9853 - 4266,"Alameda do Bode, 480 - Apartamento 541",2;3
217,Sandra Crozara Sousa,599.983.698-14,sandra_crozara@hjmail.com.br,2313104,(63) 2686 - 3547; (33) 22247 - 1125; (65) 5875 - 2506,"Rua do Carneiro, 1573 - Apto 831",4;1
218,Guilherme Melo Ramos,334.545.256-34,guilhermemelo@hjmail.com.br,2206001,(38) 8944 - 5312; (34) 12646 - 8040; (24) 3621 - 8898,"Travessa Uberaba, 311",1;2;3
219,Camila Queiroz De Melo,667.554.219-48,camila.queiroz@septem.co.uk,2210300,(75) 4897 - 3951; ,"Avenida confins, 1201 - Apartamento 43",1;4;3
220,Gladison Crozara Queiroz,915.542.434-91,gladison_crozara@hjmail.com.br,2906808,(38) 2554 - 3852; ,"Rua do Whisky, 1297",1;2;4
221,Rafael Pires Racazella,589.683.537-51,rafael.pires@septem.co.uk,2909109,(19) 8563 - 9387; ,"Alameda Lenora, 1882 - Apto 110",4;1
222,Carlos Oliveira Silva,889.776.221-61,carlosoliveira@septem.co.uk,2208106,(84) 3668 - 9838; ,"Travessa Santos Dumont, 1732",1;4;3
223,Maria Sousa De Melo,385.826.288-39,maria-sousa@septem.co.uk,2603801,(64) 9176 - 1258; ,"Avenida Santos Dumont, 1893 - Apto 334",1;4;3
224,João Lucas Trindade,889.411.225-16,joãolucas@hjmail.com.br,2903201,(48) 3323 - 2776; ,"Travessa da Lenora, 850",4;1
225,Teresa Pires Edgar,567.452.444-39,teresapires@hjmail.com.br,2504108,(93) 1295 - 4325; ,"Avenida Lenora, 879",2;4;3
226,Antonio Lima Lucas,182.189.663-71,antonio-lima@septem.co.uk,1702000,(75) 2151 - 9899; ,"Travessa Brasil, 1340 - Apartamento 300",1;4;2
227,Eduardo de Sá Crozara,346.143.781-33,eduardo.de@hjmail.com.br,1200401,(11) 8267 - 5546; ,"Travessa Vinícius CEO, 285",3;1;2
228,Maria Silva Lucas,424.275.762-82,maria_silva@hjmail.com.br,2506608,(37) 8451 - 6239; ,"Travessa Brasil, 1430 - Apartamento 270",2;1
229,Rafael Racazella Crozara,755.943.789-33,rafael.racazella@septem.co.uk,2105906,(45) 3538 - 3277; ,"Travessa Saracura, 1036",2;1;4
230,Laura de Sá Edgar,864.286.678-17,laura.de@septem.co.uk,2404200,(43) 5334 - 8797; ,"Rua do Coelho da Páscoa, 1883 - Apto 77",1;3;2;4
231,Priscila De Melo Santos,593.484.343-93,priscila_de@hjmail.com.br,2707008,(41) 5853 - 6175; ,"Avenida Santos Dumont, 1151",4;3
232,Rosa Abreu Abreu,174.149.249-31,rosa_abreu@hjmail.com.br,1200302,(25) 9722 - 6467; ,"Rua Cristo, 783",3;4;1
233,Caio Walter De Melo,115.177.115-47,caio.walter@carlmail.com,1507409,(61) 5299 - 6979; ,"Travessa garça, 680",3;1
234,Orlando Silva Racazella,729.741.352-88,orlandosilva@carlmail.com,2608909,(98) 6785 - 6315; ,"Travessa Costa Teles, 291 - sala 21",2;3;4
235,Camila Lima Lima,923.773.848-85,camila-lima@hjmail.com.br,2114007,(58) 3281 - 5429; ,"Rua Costa Teles, 606 - sala 11",1;3;4
236,João Crozara Melo,186.367.451-33,joãocrozara@hjmail.com.br,2100873,(17) 3977 - 3225; ,"Avenida milipode, 1270",4;2;1
237,Gladison De Melo Walter,529.822.783-99,gladison_de@septem.co.uk,1101559,(56) 3789 - 4172; ,"Alameda Santos Dumont, 5 - Apto 834",4;2
238,Lauro Santos Oliveira,823.479.423-67,lauro_santos@septem.co.uk,1400704,(47) 2657 - 1716; ,"Rua serenata, 1963",4;1
239,Otávio Edgar Walter,284.952.439-84,otávio.edgar@carlmail.com,2206308,(91) 4669 - 2149; (28) 11475 - 5086; (33) 5477 - 5661,"Rua Vinícius CEO, 331",1;2;3
240,Rosa Pires Trindade,798.116.945-24,rosa_pires@hjmail.com.br,1710904,(11) 9928 - 9891; (74) 12728 - 6404; (29) 8539 - 9124,"Alameda Zimbro, 1818 - Apto 509",1;4;2
241,Gladison Racazella Abreu,473.351.299-61,gladison-racazella@carlmail.com,2902401,(11) 2838 - 3839; (84) 5226 - 4018; (14) 6512 - 4371,"Alameda Easy, 1562",2;4
242,Rosi Oliveira Lucas,239.928.524-25,rosioliveira@septem.co.uk,2405603,(94) 5351 - 8281; (62) 30625 - 3644; (39) 2831 - 9557,"Rua Vinícius CEO, 1025",2;1;4
243,Rafael Pires Santista,235.388.745-55,rafael.pires@hjmail.com.br,2503308,(32) 1134 - 1466; (72) 30597 - 6198; (43) 7236 - 9614,"Rua Evangelista, 1370 - Apartamento 429",4;2
244,Laura Oliveira Andrade,799.541.679-21,lauraoliveira@carlmail.com,2805703,(37) 7998 - 8895; (18) 23775 - 2981; (53) 1249 - 8496,"Travessa serenata, 196 - Apartamento 290",1;2;4
245,Carlos Melo Ramos,326.388.183-74,carlosmelo@septem.co.uk,2401800,(94) 5914 - 8534; (56) 17785 - 7142; (43) 4157 - 6052,"Alameda Lenora, 57 - sala 8",4;3;2
246,Mylen Ramos Abreu,147.761.327-52,mylenramos@hjmail.com.br,2615201,(55) 1748 - 3845; (69) 22556 - 4948; (23) 9262 - 2492,"Alameda do Bode, 1130",3;2;4
247,Teresa Lucas de Sá,448.324.329-79,teresa.lucas@carlmail.com,2207751,(27) 2588 - 3493; (46) 15118 - 5442; (28) 9223 - 2316,"Alameda Maria Angélica, 1696 - Apto 429",1;2;3
248,Carlos Trindade Santista,828.745.374-34,carlos-trindade@hjmail.com.br,1713304,(74) 3813 - 6452; (77) 12895 - 4012; (71) 7288 - 9156,"Avenida Santos Dumont, 1886",3;1
249,Maria Racazella Andrade,423.928.241-65,mariaracazella@carlmail.com,2203354,(56) 4274 - 9544; (33) 14294 - 3961; (58) 4764 - 3534,"Rua Carolina, 578",3;2
250,Adriana Duarte Melo,649.941.396-87,adriana-duarte@septem.co.uk,2105351,(34) 6268 - 3917; (71) 30687 - 2792; (51) 2419 - 3786,"Alameda do Bode, 1791",1;4
251,Guilherme Lima Duarte,173.427.923-24,guilherme-lima@hjmail.com.br,2804458,(64) 5353 - 2555; (66) 15375 - 2131; (42) 1114 - 4040,"Travessa Ernesto Augusto, 961",3;1;4
252,William Lima Silva,129.913.998-23,william_lima@carlmail.com,1303908,(76) 1576 - 9531; (22) 1914 - 6646; (34) 4581 - 4708,"Alameda do Gin Tônica, 457",2;1;4
253,Antonio Melo de Sá,398.294.125-44,antonio.melo@hjmail.com.br,1500602,(15) 6868 - 8877; (29) 12447 - 1083; (19) 8534 - 4438,"Rua do Whisky, 664",1;4;3
254,Sousa Andrade Walter,779.599.617-31,sousa-andrade@hjmail.com.br,2304236,(53) 9143 - 1964; (19) 4126 - 9939; (73) 3724 - 6508,"Rua do Carneiro, 1326",4;1;2
255,Laura Walter Melo,347.221.611-32,laurawalter@hjmail.com.br,2514602,(19) 2969 - 7163; (32) 29462 - 6227; (29) 6857 - 6214,"Travessa Colonial, 1583 - Apartamento 590",3;4;2
256,Guilherme Lucas Andrade,167.455.794-66,guilherme_lucas@hjmail.com.br,2803708,(59) 1468 - 2518; (44) 5858 - 7788; (94) 7227 - 6703,"Travessa Lenora, 998",1;3;4
257,Lauro Melo Silva,963.449.925-89,lauro_melo@hjmail.com.br,2914406,(59) 1891 - 5284; (97) 6674 - 7375; (66) 5143 - 9990,"Rua garça, 426",3;2;4
258,Tony Silva Sousa,424.544.347-11,tonysilva@hjmail.com.br,1506559,(72) 9568 - 6252; (57) 28855 - 7244; (95) 7378 - 9020,"Avenida Yayá, 255 - sala 16",1;2;4
259,William Edgar Lucas,267.156.647-96,william-edgar@septem.co.uk,2401107,(13) 1918 - 7669; (33) 9868 - 6697; (72) 9481 - 3918,"Alameda Vinícius CEO, 1767",3;2
260,Priscila Racazella Crozara,551.863.433-87,priscila_racazella@septem.co.uk,2508901,(49) 4613 - 5717; (16) 1795 - 5226; (46) 3926 - 7628,"Alameda Costa Teles, 241",2;4;1
261,Tony Lucas Queiroz,311.113.839-26,tony_lucas@septem.co.uk,2201408,(51) 2263 - 2853; (87) 9832 - 5431; (34) 3858 - 7999,"Travessa Marcos, 700",1;4
262,Carlos Lima Racazella,741.614.461-39,carloslima@hjmail.com.br,2509503,(59) 4414 - 7948; (42) 16694 - 6433; (64) 3242 - 8832,"Avenida Marcos, 652 - Apartamento 288",3;2
263,João Lima Ramos,147.489.662-46,joão.lima@carlmail.com,2104073,(14) 8414 - 8668; (27) 23351 - 6514; (23) 8233 - 7919,"Avenida Uberaba, 1153",3;4;2
264,Igor Andrade Abreu,885.127.223-77,igor-andrade@hjmail.com.br,2310803,(16) 9273 - 9336; (28) 15427 - 2957; (93) 6913 - 2910,"Alameda Maria Angélica, 632 - Apto 949",1;4
265,Teresa de Sá Walter,461.617.377-89,teresa-de@hjmail.com.br,2403707,(33) 9915 - 3145; (77) 6431 - 6276; (61) 2189 - 5591,"Alameda Brasil, 1024",3;1;2
266,Carlos Andrade Walter,317.529.298-11,carlos_andrade@hjmail.com.br,2610608,(59) 5476 - 7561; (25) 28512 - 4392; (99) 5536 - 5322,"Alameda da Lenora, 1484 - Apto 843",4;3;2
267,Caio Melo Oliveira,253.122.848-79,caio_melo@hjmail.com.br,1504059,(65) 4341 - 6338; (89) 16385 - 4400; (87) 4234 - 8858,"Alameda confins, 665",1;2;4
268,Carlos Melo Lima,235.424.178-59,carlos-melo@carlmail.com,1721257,(58) 8491 - 6784; (53) 26957 - 1006; (51) 6311 - 2796,"Travessa Maria Angélica, 2025 - Apto 902",1;3
269,Sousa Silva Silveira,115.827.624-15,sousasilva@septem.co.uk,2210391,(34) 3982 - 7691; (21) 22622 - 3595; (85) 6727 - 4506,"Alameda Colonial, 1054 - Apartamento 278",4;2
270,Luzia Santista Andrade,822.884.864-54,luzia-santista@hjmail.com.br,2414506,(96) 9881 - 7138; (44) 14325 - 6260; (46) 2684 - 7601,"Avenida Costa Teles, 707 - sala 20",2;3;4
271,Adriana Trindade Trindade,289.776.468-32,adrianatrindade@hjmail.com.br,2908002,(76) 7964 - 6168; (74) 23159 - 9094; (65) 6792 - 4970,"Rua Colonial, 583",2;3;1
272,Natasha Walter Racazella,891.632.941-44,natashawalter@septem.co.uk,1100189,(86) 5588 - 6421; (63) 4952 - 2650; (73) 5639 - 9636,"Travessa da Cenoura, 869 - sala 12",4;1
273,Sandra Ramos Duarte,916.663.143-43,sandra.ramos@carlmail.com,1301001,(53) 7512 - 4292; (32) 5217 - 8003; (28) 1938 - 2002,"Rua Vinícius CEO, 560 - sala 8",3;1;4;2
274,Leandro Santos Racazella,466.814.512-11,leandro-santos@hjmail.com.br,1505700,(13) 1575 - 2833; (46) 1711 - 6987; (47) 6718 - 5339,"Alameda Santos Dumont, 771 - Apto 870",4;2;3
275,Rafael Walter Silveira,678.749.135-36,rafael-walter@hjmail.com.br,1200302,(56) 5119 - 5378; (95) 3428 - 9608; (98) 3344 - 9478,"Travessa Maria Angélica, 235 - sala 16",4;3;2
276,Gladison Andrade Walter,374.542.986-44,gladison_andrade@carlmail.com,1300300,(19) 6674 - 5593; (38) 10687 - 5686; (47) 8735 - 6594,"Alameda Peas, 1717",3;4;2
277,Teresa Lima Lima,477.736.885-66,teresalima@hjmail.com.br,2405009,(87) 2528 - 2814; (95) 29445 - 2134; (11) 5912 - 3852,"Rua Cristo, 1748",4;3;2
278,Dina Oliveira Andrade,196.594.928-36,dina.oliveira@septem.co.uk,2111003,(93) 4477 - 5474; (56) 10813 - 6788; (88) 4447 - 8139,"Avenida Estados Desunidos, 1814 - sala 3",2;4;1
279,Rosa Lucas Pires,546.762.581-42,rosa_lucas@carlmail.com,2205409,(88) 7187 - 8693; (87) 18692 - 8089; (94) 9955 - 2456,"Travessa Evangelista, 506",3;2;4
280,Gladison Duarte Silva,717.382.846-58,gladison-duarte@hjmail.com.br,2208700,(74) 5954 - 2464; (45) 20876 - 8654; (89) 8197 - 7123,"Alameda Santos Dumont, 1268 - Apartamento 835",4;3;1
281,Laura Silveira Lucas,725.881.656-59,laura-silveira@carlmail.com,2405207,(24) 2299 - 1453; (55) 15421 - 6976; (58) 3335 - 7102,"Alameda Colonial, 1521",4;2;3
282,Carla De Melo De Melo,853.829.113-77,carla-de@carlmail.com,1600600,(76) 1211 - 9561; (84) 23261 - 8812; (16) 6994 - 3918,"Alameda Colonial, 1415 - Apartamento 917",3;4;2
